sent,verb,index,sign,seq_label,label,verbs,indexs,signs,labels,dataset
carry it home here.,carry,[0],NONE,"[0, 0, 0, 0]",0,['carry'],[0],['NONE'],[0],vua
"At least you won't have to carry it, at least we've got the car and we can we can",carry,[6],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['carry'],[6],['NONE'],[0],vua
"carry it between us, that's no problem is it?",carry,[0],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['carry'],[0],['NONE'],[0],vua
flour and then to carry home here.,carry,[4],NONE,"[0, 0, 0, 0, 0, 0, 0]",0,['carry'],[4],['NONE'],[0],vua
But only two million out of the 20 million journeys which ambulance crews carry out each year are emergency calls.,carry,[13],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,['carry'],[13],['VERB'],[1],vua
"The large frond carries many branches, on which there are numbers of leaf-like pinnules more or less alternating on either side of the branch.",carry,[3],VERB,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['carry'],[3],['VERB'],[1],vua
"There is a refreshing simplicity and tenderness in Motion's account of the way Francis nurses her, but she herself is too sketchily drawn for the episode to carry much weight.",carry,[27],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,['carry'],[27],['VERB'],[1],vua
How to avoid problems caused by mixing queries under different ANSI SQL query modes in the same database,problems,[3],LVC,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['problems'],[3],['LVC'],[1],parseme
"In general , avoid doing the following to prevent problems caused by mixing queries created under different ANSI SQL query modes :",problems,[9],LVC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['problems'],[9],['LVC'],[1],parseme
where did you grow up ?,grow,[3],VPC,"['0', '0', '0', '1', '1', '0']",1,['grow'],[3],['VPC'],[1],parseme
"Most of the girls I was meeting had grown up in Mujahedeen schools in Ashraf , where they lived separated from their parents .",grow,[8],VPC,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['grow'],[8],['VPC'],[1],parseme
"And yet when that ceremony was over , and in between all the other official occasions – State Ball , receptions , cocktail parties , banquets , and luncheons – a mood of celebration grew up , as it were , outside the palace gates .",grow,[34],VPC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['grow'],[34],['VPC'],[1],parseme
We 've grown up .,grow,[2],VPC,"['0', '0', '1', '1', '0']",1,['grow'],[2],['VPC'],[1],parseme
"You may, even as a novice, care so passionately about plants that all you want is the maximum space to grow them in.",grow,[20],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['grow'],[20],['NONE'],[0],vua
"This means feedback is obtained early in the development process, and the system can grow around the user's requirements.",grow,[14],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,['grow'],[14],['VERB'],[1],vua
He noted that the Canberra meeting â is the start of something which could grow into a very significant development not only for the region but for the global economy.,grow,[14],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['grow'],[14],['VERB'],[1],vua
"KSM explained that Moussaoui 's inquiries about crop dusters may have been related to the anthrax work being done by US - trained biochemist and Al Qaeda operative , Malaysian Yazid Sufaat .",work,[16],LVC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['work'],[16],['LVC'],[1],parseme
"Then she gave him work to do , with the promise he would n't eat again until he 'd finished .",work,[4],LVC,"['0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['work'],[4],['LVC'],[1],parseme
We have used them for plumbing & A / C and they are affordable and get the work done right .,work,[17],LVC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0']",1,['work'],[17],['LVC'],[1],parseme
If this is the case I would like someone to walk me through June to see if the numbers did really work themselves out as there was a large swing in second order on June 29 that was not adjusted for .,work,[21],VPC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"['work', 'work']","[21, 21]","['VPC', 'VPC']","[1, 1]",parseme
"The American firm of Booz , Allen &amp; Hamilton lent one of its specialists , Miles Copeland by name , to the State Department , where he was in 1955 a member of a group called the Middle East Policy Planning Committee , the main purpose of which was , in his own words , "" to work out ways of taking advantage of the friendship which was developing between ourselves and Nasser . """,work,[57],VPC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['work'],[57],['VPC'],[1],parseme
"The Herodian relics are all that relics should be columns distorted , well worked over by time , Absalom 's tomb with its bulbous roof and odd funnel tapering out of it .",work,[13],VPC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['work'],[13],['VPC'],[1],parseme
"With other illustrators, I work at a distance we visit and phone, but there is a point at which I can't pester them any more, Allan says.",work,[4],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['work'],[4],['NONE'],[0],vua
You work them out like that look.,work,[1],NONE,"[0, 0, 0, 0, 0, 0, 0]",0,['work'],[1],['NONE'],[0],vua
"We know your mother works at the Royal Victoria Hospital, they told him, we know where your sister works, and there are sectarian killings down there.",work,[4],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"['work', 'work']","[4, 4]","['NONE', 'NONE']","[0, 0]",vua
I'll work it out,work,[1],NONE,"[0, 0, 0, 0]",0,['work'],[1],['NONE'],[0],vua
and I can work on it.,work,[3],NONE,"[0, 0, 0, 0, 0, 0]",0,['work'],[3],['NONE'],[0],vua
"Yeah, he's going to work",work,[4],NONE,"[0, 0, 0, 0, 0]",0,['work'],[4],['NONE'],[0],vua
She recalled a promise made by Mr Major when he became Prime Minister: that he would work for a nation at ease with itself.,work,[16],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['work'],[16],['NONE'],[0],vua
I couldn't work out what you were talking about.,work,[2],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['work'],[2],['NONE'],[0],vua
â I hadn't planned to work at all.,work,[5],NONE,"[0, 0, 0, 0, 0, 0, 0, 0]",0,['work'],[5],['NONE'],[0],vua
"In 1950, he was Swiss sculls champion and finished third in the European championships before moving to Manila to work for his family's private multinational company, Eduard Keller Ltd, for four years.",work,[19],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['work'],[19],['NONE'],[0],vua
"If that happened, he'd have to work fast.",work,[6],NONE,"[0, 0, 0, 0, 0, 0, 0, 0]",0,['work'],[6],['NONE'],[0],vua
"Before Raymont works towards ways of showing respect, understanding and affection to members of the opposite sex, she should realise that the opposite sex's obsession with members is a problem of enormous gravity.",work,[2],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['work'],[2],['NONE'],[0],vua
"Well we, we work shifts so he could probably do it when we're on earlies and",work,[3],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['work'],[3],['NONE'],[0],vua
"Well she works with him, doesn't she?",work,[2],NONE,"[0, 0, 0, 0, 0, 0, 0]",0,['work'],[2],['NONE'],[0],vua
"But it will also be a challenge to us, Palestinians, summoning us to work more energetically towards the idea's fulfilment.",work,[13],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['work'],[13],['NONE'],[0],vua
Many may eventually be able to work from home rather than commute to an office.,work,[6],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['work'],[6],['NONE'],[0],vua
We work long hours and,work,[1],NONE,"[0, 0, 0, 0, 0]",0,['work'],[1],['NONE'],[0],vua
"The strength of the partnership is highlighted for Allan, who also works with a number of other artists.",work,[11],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['work'],[11],['NONE'],[0],vua
And gone to work for the opposition.,work,[3],NONE,"[0, 0, 0, 0, 0, 0, 0]",0,['work'],[3],['NONE'],[0],vua
"â Alas, disclaimers may work if, for example, the property being valued is industrial or an expensive house.",work,[4],VERB,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['work'],[4],['VERB'],[1],vua
A part of the myth just didn't work after that.,work,[7],VERB,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,['work'],[7],['VERB'],[1],vua
It won't work,work,[2],VERB,"[0, 0, 1]",1,['work'],[2],['VERB'],[1],vua
"In theory, validation meant that the user had read the specification, imagined how the system would work in practice, and agreed the design.",work,[16],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,['work'],[16],['VERB'],[1],vua
"There was then an open toughness about party tactics; before the Buckingham Palace Conference in 1914 he had Central Office work out the electoral effects of excluding nine, six or four counties of Ulster from an independent Ireland the concern of a calculating pragmatist not of a bigot.",work,[20],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['work'],[20],['VERB'],[1],vua
"It can work its way past us, and hide again.",work,[2],VERB,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,['work'],[2],['VERB'],[1],vua
That could work â though it is easy to imagine conflicts of interest with the housing and planning functions of the department.,work,[2],VERB,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['work'],[2],['VERB'],[1],vua
"A few days ago he was in that house , packing to leave in the flat progression of practical matters by which decision is broken up into reality .",break,[24],LVC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0']",1,['break'],[24],['LVC'],[1],parseme
This broke everybody up .,break,[1],VPC,"['0', '1', '0', '1', '0']",1,['break'],[1],['VPC'],[1],parseme
ok well i have a crush on 2 guys but unforchunitly it is almost valentine s day afnd i just broke up with my and i have dated one of the guys i like and one guy lives in my naborhood guy i need your help i am a girl but i need a guy s help what shoul i do ?,break,[20],VPC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['break'],[20],['VPC'],[1],parseme
"It seemed to Quinn that Stillman 's body had not been used for a long time and that all its functions had been relearned , so that motion had become a conscious process , each movement broken down into its component submovements , with the result that all flow and spontaneity had been lost .",break,[36],VPC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['break'],[36],['VPC'],[1],parseme
"Not for the first time , an argument had broken out over breakfast at number four , Privet Drive .",break,[9],VPC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['break'],[9],['VPC'],[1],parseme
"She gestured and laughed , but her husband was eager to break in , holding up his hands over the plate balanced on his knees .",break,[11],VPC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['break'],[11],['VPC'],[1],parseme
"The Ahlbergs have been accused of not facing up to the harsh realities of life, of being too cosy and sweet, but their latest picture book, Bye Bye Baby, published today, breaks the mould.",break,[31],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,['break'],[31],['VERB'],[1],vua
"It is correct for most of the chapter with formula taken as a constant but breaks down for ferromagnetic materials, which will be discussed in Section 3.11.",break,[15],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['break'],[15],['VERB'],[1],vua
They set off together down the street .,set,[1],VPC,"['0', '1', '1', '0', '0', '0', '0', '0']",1,['set'],[1],['VPC'],[1],parseme
"Feeling jumpy , Harry set off , trying to hold his glasses on straight and hoping against hope he 'd be able to find a way out of there .",set,[4],VPC,"['0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['set'],[4],['VPC'],[1],parseme
"It was the evening when Bray , Neil , Evelyn Odara , one of the South African refugees , the Pettigrews , and a few others set off for the Sputnik Bar .",set,[26],VPC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",1,['set'],[26],['VPC'],[1],parseme
I would highly recommend that you read through some reliable bearded guides to make sure you have everything set up correctly :,set,[18],VPC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",1,['set'],[18],['VPC'],[1],parseme
"Companies may try to set up a firewall between sensitive systems and foreign powers , but it does not always work .",set,[4],VPC,"['0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['set'],[4],['VPC'],[1],parseme
They were set up by the European Union for a specific purpose .,set,[2],VPC,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['set'],[2],['VPC'],[1],parseme
Where this is high it suggests that an additional sampling station might be set up.,set,[13],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['set'],[13],['NONE'],[0],vua
"The tiny single room was jammed with the mossy timbers of disused sheep pens, but the little iron fire grate that once warmed the hardy men who worked here was still set in the foot of the hut's tottering gable end, and the massive stone lintel had not yet fallen from its place above the doorway.",set,[31],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['set'],[31],['NONE'],[0],vua
"In Bristol and West's forthcoming auctions, a set fee of ̴�375 plus VAT will be charged to everyone entering property to sell, with its usual agent's commission( about 2 per cent plus VAT) charged on top when sales are made.",set,[7],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['set'],[7],['NONE'],[0],vua
"Torchlights, flaring against the night sky and reflected in the water, had been set up wherever it was suitable.",set,[13],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['set'],[13],['NONE'],[0],vua
"The man, a stocky, greying fifty-year-old in a navy raincoat over a suit, his hair cut short, was attended by a uniformed policewoman, hair smartly set under the cap, her eyes watchful in the wide, flat, placid face, and both of them were standing square and stolid.",set,[25],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['set'],[25],['NONE'],[0],vua
"As may be seen in Fig. 3.1 the coordinates of the wire element are x', y', z', whereas the coordinates of the point where we wish to determine the magnetic field are set of coordinates.",set,[32],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['set'],[32],['NONE'],[0],vua
"A 4-year experimental programme to collect, co-ordinate and ensure the consistency of information on the state of the environment and natural resources in the European Communities was set up and labelled CORINE.",set,[27],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['set'],[27],['NONE'],[0],vua
"In addition to the work being carried out in the UNEP HQ at Nairobi and in the GEMS/GRID site in Geneva, a series of GRID regional nodes are now being set up world-wide, each equipped with the same hardware and software and local subsets of the data.",set,[30],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['set'],[30],['NONE'],[0],vua
"The ideal hotel from which to explore is Dedham Hall, set among tall trees in the Vale of Dedham, looking directly across towards Dedham church on one side and Flatford Mill on the other: both painted by Constable.",set,[10],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['set'],[10],['NONE'],[0],vua
"As they set up the now empty suit with its back to the door, half slumped over a control panel, he settled down behind the curtained entrance of the showers.",set,[2],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['set'],[2],['NONE'],[0],vua
"It will be seen that English law does this up to a point, and in the process seems to accept social-defence arguments as reasons for departing from several of the principles set out in Chapter 3.",set,[31],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,['set'],[31],['VERB'],[1],vua
This should be followed by a separate section on how to set the system up in the first place and how to check that it is working properly.,set,[11],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['set'],[11],['VERB'],[1],vua
"Scattered through the policy review are proposals to: Drastically alter the status and organisation of the Department of Trade and Industry; Create two departments â a Department of Consumer Affairs, and a Department for Legal Administration; Create a Department of Environmental Protection within the existing Department of the Environment; Set up a plethora of new commissions and executive agencies; Set up a Women's Ministry.",set,[49],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"['set', 'set']","[49, 49]","['VERB', 'VERB']","[1, 1]",vua
There was a hint of sadness now in Madame's eyes but her mouth was set and determined.,set,[14],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,['set'],[14],['VERB'],[1],vua
"Normally, the reserve is set only days or hours before the auction, when the agents will already have a good indication of how much interest has been shown.",set,[4],VERB,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['set'],[4],['VERB'],[1],vua
"From the party viewpoint Law's methods were successful but dangerous; expectations raised when the party was in full cry were not easily set aside for an eventual compromise, and the only outcome that would fully vindicate the methods was the recovery of power.",set,[22],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['set'],[22],['VERB'],[1],vua
"Entire departments can be set up, in health, foreign affairs, agriculture, trade, finance, education, justice, religion, information and social welfare.",set,[4],VERB,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['set'],[4],['VERB'],[1],vua
"Sartre's account thus sets up the articulation of history, univocal meaning, and totality as the indissoluble set of elements required for the validation of Marxism, necessary in order to save it from its detour from itself.",set,[3],VERB,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['set'],[3],['VERB'],[1],vua
"I found it was possible with Paradise to talk about individual and personal responsibility, something which if set in a contemporary context would have had a preachy feel about it.",set,[17],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['set'],[17],['VERB'],[1],vua
"One night he went to her house, poured paraffin through the letter-box and on to the front door, and set it alight.",set,[19],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,['set'],[19],['VERB'],[1],vua
Their books are usually set nostalgically in the past the Thirties and Forties are favourite periods and often feature the perennial characters of fairy tales and nursery rhymes.,set,[4],VERB,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['set'],[4],['VERB'],[1],vua
A national standard will also be set for outpatient waiting times.,set,[6],VERB,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,['set'],[6],['VERB'],[1],vua
"Although the Scarman Report is often taken to be the central text which argues for a link between social conditions and disorder, the terms of the debate were by no means set by Scarman.",set,[31],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,['set'],[31],['VERB'],[1],vua
"The number of such cartoons is so small that, set against the insults to women broadcast by every newsagent and television channel, only a loony masculist would object to them.",set,[9],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['set'],[9],['VERB'],[1],vua
"Rufus took her ̴�40 off her by the reception desk, having set in train the arrangements by which she would be admitted to a fashionable West End clinic, with Rufus, her surgery and her hospitalization ultimately paid for by some provident association to which she and her husband subscribed.",set,[11],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['set'],[11],['VERB'],[1],vua
"You've set up as a designer in your own right, Gary!",set,[1],VERB,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['set'],[1],['VERB'],[1],vua
"The review team, set up under the auspices of the Social Services Committee, included councillors, senior departmental management and representatives of the children's day centre organisers and under-fives social workers in its membership.",set,[3],VERB,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['set'],[3],['VERB'],[1],vua
"Like many young American composers he studied with Nadia Boulanger, but after 1925 set out to achieve the discipline of spontaneity which he found in Stein's writings.",set,[13],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['set'],[13],['VERB'],[1],vua
The US sets its compass on two trading oceans Notebook.,set,[2],VERB,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,['set'],[2],['VERB'],[1],vua
"I like Hayes Street Grill .... another plus , it 's right by Civic Center , so you can take a romantic walk around the Opera House , City Hall , Symphony Auditorium ... all very beautiful .",take,[19],LVC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['take'],[19],['LVC'],[1],parseme
